133207	102030973	Ambala		locality	1
135001	102028215	Yamunanagar		locality	2
135003	102030025	Jagadhri		locality	1
136027	102029923	Kaithal		locality	1
136118	890509227	Kurukshetra		locality	3
140001	102028795	Rupnagar		locality	4
140118	102030945	Anandpur Sahib		locality	1
140124	890501495	Nangal		locality	1
140301	102029749	Kharar		locality	6
140306	102031103	Ajitgarh		locality	1
140308	102031103	Ajitgarh		locality	1
140406	102028619	Sirhind-Fategarh		locality	1
140603	1343730497	Zerakpur		locality	1
141001	102029555	Ludhiana		locality	21
141002	102029555	Ludhiana		locality	11
141003	102029555	Ludhiana		locality	11
141006	102029555	Ludhiana		locality	16
141007	102029555	Ludhiana		locality	11
141008	102029555	Ludhiana		locality	17
141009	102029555	Ludhiana		locality	1
141010	102029555	Ludhiana		locality	3
141012	102029555	Ludhiana		locality	1
141013	102029555	Ludhiana		locality	9
141015	102029555	Ludhiana		locality	5
141016	102029555	Ludhiana		locality	1
141027	102029555	Ludhiana		locality	1
141101	1259439049	Dakha		locality	1
141104	1309689933	Sudhar		locality	1
141105	1309689933	Sudhar		locality	1
141107	102030137	Halwara		locality	3
141109	890504567	Raikot		locality	66
141109	1326486571	Tajpur		locality	1
141114	102028751	Samrala		locality	4
141116	102029555	Ludhiana		locality	1
141123	102029555	Ludhiana		locality	1
141401	102029555	Ludhiana		locality	2
141401	102029755	Khanna		locality	1
141416	102029555	Ludhiana		locality	1
142001	102029365	Moga		locality	4
142024	1326685997	Sidhwan Khurd		locality	1
142026	890509859	Jagraon		locality	14
142032	1343617669	Jhorran		locality	7
142032	1243221869	Ramgarh		locality	4
142032	1243024315	Bassian		locality	3
142032	1277145391	Khurd		locality	1
142032	1293250551	Shahjahanpur		locality	1
142033	1326718085	Kiri		locality	1
142047	890511025	Zira		locality	5
142053	1209584081	Dhudike		locality	1
142054	1343718035	Khokri Kalan		locality	1
142521	102030163	Gurdaspur		locality	1
143001	102030955	Amritsar		locality	10
143005	102030955	Amritsar		locality	1
143006	102030955	Amritsar		locality	1
143102	890510577	Ajnala		locality	1
143108	1326798889	Atari		locality	1
143116	102030955	Amritsar		locality	1
143201	1226706239	Beas		locality	1
143401	890501359	Tarn Taran		locality	2
143416	1125960501	Patti		locality	1
143505	102030761	Batala		locality	1
143521	102030163	Gurdaspur		locality	8
143601	102030955	Amritsar		locality	1
144001	102029941	Jalandhar		locality	12
144003	102029941	Jalandhar		locality	3
144004	102029941	Jalandhar		locality	3
144005	102029941	Jalandhar		locality	2
144006	102029941	Jalandhar		locality	3
144008	102029941	Jalandhar		locality	4
144012	102029941	Jalandhar		locality	2
144020	102029941	Jalandhar		locality	2
144022	102029941	Jalandhar		locality	2
144040	102029269	Nakodar		locality	1
144201	102030677	Bhogpur		locality	2
144204	1242635495	Urmar		locality	1
144205	102030437	Dasuya		locality	1
144211	890506247	Mukerian		locality	1
144212	102030079	Hoshiarpur		locality	1
144401	102029015	Phagwara		locality	3
144410	890503715	Phillaur		locality	1
144411	102029015	Phagwara		locality	1
144505	1125942523	Banga		locality	1
144510	1125942523	Banga		locality	1
144510	1276193897	Gobindpur		locality	1
144601	102029851	Kapurthala		locality	2
144626	890501323	Sultanpur Lodhi		locality	1
144627	102029851	Kapurthala		locality	3
144702	890510189	Shahkot		locality	1
145001	102029059	Pathankot		locality	4
146001	102030079	Hoshiarpur		locality	7
146111	102030079	Hoshiarpur		locality	4
147001	102029057	Patiala		locality	14
147102	890508255	Pattran		locality	1
147201	102029299	Nabha		locality	1
147203	890506277	Amloh		locality	1
147301	1360243077	Garh		locality	1
148001	102028733	Sangrur		locality	2
148023	890508605	Malerkotla		locality	1
148028	890509493	Sunam		locality	1
148102	890505497	Bhadaur		locality	2
148104	1343730551	Chhapa		locality	1
148104	1243542181	Kurar		locality	1
151001	890501865	Bathinda		locality	10
151004	102031085	Bathinda		locality	1
151005	890501865	Bathinda		locality	1
151101	102031085	Bathinda		locality	1
151103	1242736115	Rampura Phul		locality	2
