010761	1141909417	Bucharest		locality	1
010766	1141909417	Bucharest		locality	1
010767	1141909417	Bucharest		locality	2
010771	1141909417	Bucharest		locality	1
010772	1141909417	Bucharest		locality	3
010773	1141909417	Bucharest		locality	2
010774	1141909417	Bucharest		locality	4
010775	1141909417	Bucharest		locality	10
010776	1141909417	Bucharest		locality	8
010777	1141909417	Bucharest		locality	7
010778	1141909417	Bucharest		locality	11
010779	1141909417	Bucharest		locality	11
010786	1141909417	Bucharest		locality	1
010801	1141909417	Bucharest		locality	1
010803	1141909417	Bucharest		locality	1
010804	1141909417	Bucharest		locality	11
010805	1141909417	Bucharest		locality	3
010806	1141909417	Bucharest		locality	7
010807	1141909417	Bucharest		locality	8
010811	1141909417	Bucharest		locality	7
010812	1141909417	Bucharest		locality	18
010813	1141909417	Bucharest		locality	3
010814	1141909417	Bucharest		locality	1
010815	1141909417	Bucharest		locality	7
010816	1141909417	Bucharest		locality	1
010817	1141909417	Bucharest		locality	3
010819	1141909417	Bucharest		locality	1
010821	1141909417	Bucharest		locality	21
010822	1141909417	Bucharest		locality	10
010826	1141909417	Bucharest		locality	1
010844	1141909417	Bucharest		locality	1
010847	1141909417	Bucharest		locality	1
010849	1141909417	Bucharest		locality	1
010856	1141909417	Bucharest		locality	2
010857	1141909417	Bucharest		locality	1
010863	1141909417	Bucharest		locality	4
010864	1141909417	Bucharest		locality	2
010865	1141909417	Bucharest		locality	10
010866	1141909417	Bucharest		locality	4
010867	1141909417	Bucharest		locality	2
010868	1141909417	Bucharest		locality	2
010882	1141909417	Bucharest		locality	3
010911	1141909417	Bucharest		locality	7
010912	1141909417	Bucharest		locality	11
010913	1141909417	Bucharest		locality	5
010914	1141909417	Bucharest		locality	2
010915	1141909417	Bucharest		locality	9
010916	1141909417	Bucharest		locality	2
010917	1141909417	Bucharest		locality	5
010918	1141909417	Bucharest		locality	4
010919	1141909417	Bucharest		locality	6
010921	1141909417	Bucharest		locality	3
010922	1141909417	Bucharest		locality	7
010923	1141909417	Bucharest		locality	6
010924	1141909417	Bucharest		locality	11
010931	1141909417	Bucharest		locality	10
010932	1141909417	Bucharest		locality	12
010943	1141909417	Bucharest		locality	4
010944	1141909417	Bucharest		locality	6
010961	1141909417	Bucharest		locality	4
010962	1141909417	Bucharest		locality	4
010963	1141909417	Bucharest		locality	10
010964	1141909417	Bucharest		locality	9
010965	1141909417	Bucharest		locality	9
010966	1141909417	Bucharest		locality	14
010967	1141909417	Bucharest		locality	9
010971	1141909417	Bucharest		locality	18
010972	1141909417	Bucharest		locality	5
010975	1141909417	Bucharest		locality	3
010976	1141909417	Bucharest		locality	1
010981	1141909417	Bucharest		locality	4
010983	1141909417	Bucharest		locality	13
010984	1141909417	Bucharest		locality	7
010991	1141909417	Bucharest		locality	8
010992	1141909417	Bucharest		locality	14
011011	1141909417	Bucharest		locality	4
011012	1141909417	Bucharest		locality	7
011013	1141909417	Bucharest		locality	7
011014	1141909417	Bucharest		locality	12
011015	1141909417	Bucharest		locality	8
011017	1141909417	Bucharest		locality	5
011021	1141909417	Bucharest		locality	9
011022	1141909417	Bucharest		locality	6
011025	1141909417	Bucharest		locality	1
011028	1141909417	Bucharest		locality	1
011032	1141909417	Bucharest		locality	1
011033	1141909417	Bucharest		locality	4
011034	1141909417	Bucharest		locality	9
011035	1141909417	Bucharest		locality	2
011036	1141909417	Bucharest		locality	2
011037	1141909417	Bucharest		locality	5
011042	1141909417	Bucharest		locality	6
011043	1141909417	Bucharest		locality	13
011044	1141909417	Bucharest		locality	7
011047	1141909417	Bucharest		locality	11
011048	1141909417	Bucharest		locality	12
011051	1141909417	Bucharest		locality	10
011052	1141909417	Bucharest		locality	10
011053	1141909417	Bucharest		locality	18
011054	1141909417	Bucharest		locality	10
011055	1141909417	Bucharest		locality	7
011056	1141909417	Bucharest		locality	11
011057	1141909417	Bucharest		locality	18
011061	1141909417	Bucharest		locality	5
11061	101751971	Piteşti		locality	1
011062	1141909417	Bucharest		locality	2
011063	1141909417	Bucharest		locality	1
011064	1141909417	Bucharest		locality	1
011065	1141909417	Bucharest		locality	7
011071	1141909417	Bucharest		locality	1
011077	1141909417	Bucharest		locality	3
011078	1141909417	Bucharest		locality	7
011081	1141909417	Bucharest		locality	8
011082	1141909417	Bucharest		locality	10
011091	1141909417	Bucharest		locality	14
011092	1141909417	Bucharest		locality	18
011093	1141909417	Bucharest		locality	22
011094	1141909417	Bucharest		locality	22
011095	1141909417	Bucharest		locality	20
011096	1141909417	Bucharest		locality	21
011097	1141909417	Bucharest		locality	18
011098	1141909417	Bucharest		locality	21
