2545	1126029673	Dunaalmás		locality	7
2560	101910877	Győr		locality	120
2563	101910877	Győr		locality	1
2600	101785881	Waitzen		locality	716
2600	1209792869	Csakanyospuszta		locality	1
2603	1141907003	Vác		locality	1
2610	101780115	Nőtincs		locality	6
2610	1126047257	Ősagárd		locality	1
2611	1326701233	Felsopeteny		locality	4
2612	101785875	Kosd		locality	1
2613	101845009	Rád		locality	2
2614	101780095	Penc		locality	70
2617	1125986667	Alsópetény		locality	8
2619	1326603725	Legend		locality	2
2621	101832551	Verőce		locality	22
2623	101832549	Kismaros		locality	87
2624	101858935	Szokolya		locality	12
2625	1125816235	Kóspallag		locality	24
2626	101833329	Nagymaros		locality	1046
2627	101833325	Zebegény		locality	146
2628	101833323	Szob		locality	56
2629	101780093	Márianosztra		locality	5
2630	101785853	Sankt-Johann		locality	1
2631	1125968389	Ipolydamásd		locality	1
2632	101784641	Letkés		locality	41
2632	1259837477	Puszta		locality	1
2633	1242846919	Ipolytolgyes		locality	47
2634	1125932113	Nagybörzsöny		locality	40
2638	101784637	Kemence		locality	190
2639	1125908513	Bernecebaráti		locality	1
2640	101784775	Szendehely		locality	1
2642	101784751	Nógrád		locality	10
2643	101784745	Diósjenő		locality	25
2646	101784757	Drégelypalánk		locality	2
2649	101784759	Dejtár		locality	43
2651	101784747	Rétság		locality	5
2652	1309789365	Tereske		locality	12
2653	1125912289	Bánk		locality	7
2654	101843567	Romhány		locality	6
2655	1125855991	Kétbodony		locality	12
2657	1125887775	Tolmács		locality	2
2659	101784727	Érsekvadkert		locality	152
2660	101783479	Balassagyarmat		locality	430
2676	1209987319	Cserhatsurany		locality	12
2678	1226721119	Csesztve		locality	2
2683	101785877	Asca		locality	3
2686	1226425893	Galgaguta		locality	2
2693	1125825747	Becske		locality	6
2694	101784739	Magyarnándor		locality	4
2696	1126046191	Terény		locality	9
2697	1125987391	Szanda		locality	2
2698	1343544689	Mohora		locality	1
2699	101784761	Szügy		locality	23
2700	101788331	Czegled		locality	91
